POSITION,CLUB,POINTS,PLAYED,WINS,DRAWN,LOST,GOALS FOR,GOALS AGAINST,GOAL DIFFERENCE,%
,,,,,,,,,,
"1
",Flamengo,67,38,19,10,9,58,44,+14,59
"2
",Internacional,65,38,19,8,11,65,44,+21,57
"3
",São Paulo,65,38,18,11,9,57,42,+15,57
"4
",Cruzeiro,62,38,18,8,12,58,53,+5,54
"5
",Palmeiras,62,38,17,11,10,58,45,+13,54
"6
",Avaí,57,38,15,12,11,61,52,+9,50
"7
",Atlético Mineiro,56,38,16,8,14,55,56,–1,49
"8
",Grêmio,55,38,15,10,13,67,46,+21,48
"9
",Goiás,55,38,15,10,13,64,65,–1,48
"10
",Corinthians,52,38,14,10,14,50,54,–4,46
"11
",Grêmio Barueri,49,38,12,13,13,59,52,+7,43
"12
",Santos,49,38,12,13,13,58,58,0,43
"13
",Vitória,48,38,13,9,16,51,57,–6,42
"14
",Atlético Paranaense,48,38,13,9,16,42,49,–7,42
"15
",Botafogo,47,38,11,14,13,52,58,–6,41
"16
",Fluminense,46,38,11,13,14,49,56,–7,40
"17
",Coritiba,45,38,12,9,17,48,60,–12,39
"18
",Santo André,41,38,11,8,19,46,61,–15,36
"19
",Náutico,38,38,10,8,20,48,71,–23,33
"20
",Sport,31,38,7,10,21,48,71,–23,27
