POSITION,CLUB,FU,POINTS,PLAYED,WINS,DRAWN,LOST,GOALS FOR,GOALS AGAINST,GOAL DIFFERENCE,YELLOW CARD,RED CARD,%
1,Flamengo,RJ,90,38,28,6,4,86,37,49,90,3,78
2,Santos,SP,74,38,22,8,8,60,33,27,110,12,64
3,Palmeiras,SP,74,38,21,11,6,61,32,29,78,5,64
4,Grêmio,RS,65,38,19,8,11,64,39,25,80,2,57
5,Athletico Paranaense,PR,64,38,18,10,10,51,32,19,83,2,56
6,São Paulo,SP,63,38,17,12,9,39,30,9,87,7,55
7,Internacional,RS,57,38,16,9,13,44,38,6,98,3,50
8,Corinthians,SP,56,38,14,14,10,42,34,8,72,2,49
9,Fortaleza,CE,53,38,15,8,15,50,49,1,85,13,46
10,Goiás,GO,52,38,15,7,16,46,64,-18,86,7,45
11,Bahia,BA,49,38,12,13,13,44,43,1,65,6,42
12,Vasco da Gama,RJ,49,38,12,13,13,39,45,-6,105,5,42
13,Atlético,MG,48,38,13,9,16,44,49,-5,69,5,42
14,Fluminense,RJ,46,38,12,10,16,38,46,-8,87,12,40
15,Botafogo,RJ,43,38,13,4,21,31,45,-14,94,3,37
16,Ceará,CE,39,38,10,9,19,36,41,-5,85,3,34
17,Cruzeiro,MG,36,38,7,15,16,27,46,-19,81,6,31
18,Csa,AL,32,38,8,8,22,24,58,-34,90,4,28
19,Chapecoense,SC,32,38,7,11,20,31,52,-21,79,6,28
20,Avaí,SC,20,38,3,11,24,18,62,-44,79,10,17
